tipo,elemento,x1,y1,x2,y2,ancho_px,alto_px,valor_x,valor_y,texto,descripcion
resumen,grafica,,,,,485,296,,,—n,"Gráfica de 485x296 px con título '—n', eje X detectado, eje Y detectado, curva detectada (276 puntos)."
eje,eje_x,2,290,480,290,,,,,,"Eje X (horizontal), de (2,290) a (480,290)."
eje,eje_y,2,287,2,3,,,,,,"Eje Y (vertical), de (2,287) a (2,3)."
texto,titulo,429,140,,,38,9,,,—n,"Título leído por OCR: '—n', recuadro 38x9 px."
texto,titulo_eje_y,,,,,,,,,,No se detectó título vertical del eje Y.
texto,titulo_eje_x,,,,,,,,,,No se detectó título del eje X.
curva,punto,90,149.0,,,,,,,,"Punto de la curva en píxel (90, 149.0); sin calibración suficiente para valor real."
curva,punto,91,148.5,,,,,,,,"Punto de la curva en píxel (91, 148.5); sin calibración suficiente para valor real."
curva,punto,92,148.5,,,,,,,,"Punto de la curva en píxel (92, 148.5); sin calibración suficiente para valor real."
curva,punto,93,147.0,,,,,,,,"Punto de la curva en píxel (93, 147.0); sin calibración suficiente para valor real."
curva,punto,94,146.0,,,,,,,,"Punto de la curva en píxel (94, 146.0); sin calibración suficiente para valor real."
curva,punto,95,145.5,,,,,,,,"Punto de la curva en píxel (95, 145.5); sin calibración suficiente para valor real."
curva,punto,96,144.5,,,,,,,,"Punto de la curva en píxel (96, 144.5); sin calibración suficiente para valor real."
curva,punto,97,143.5,,,,,,,,"Punto de la curva en píxel (97, 143.5); sin calibración suficiente para valor real."
curva,punto,98,143.0,,,,,,,,"Punto de la curva en píxel (98, 143.0); sin calibración suficiente para valor real."
curva,punto,99,141.5,,,,,,,,"Punto de la curva en píxel (99, 141.5); sin calibración suficiente para valor real."
curva,punto,100,140.5,,,,,,,,"Punto de la curva en píxel (100, 140.5); sin calibración suficiente para valor real."
curva,punto,101,139.5,,,,,,,,"Punto de la curva en píxel (101, 139.5); sin calibración suficiente para valor real."
curva,punto,102,138.5,,,,,,,,"Punto de la curva en píxel (102, 138.5); sin calibración suficiente para valor real."
curva,punto,103,137.5,,,,,,,,"Punto de la curva en píxel (103, 137.5); sin calibración suficiente para valor real."
curva,punto,104,136.5,,,,,,,,"Punto de la curva en píxel (104, 136.5); sin calibración suficiente para valor real."
curva,punto,105,135.5,,,,,,,,"Punto de la curva en píxel (105, 135.5); sin calibración suficiente para valor real."
curva,punto,106,134.5,,,,,,,,"Punto de la curva en píxel (106, 134.5); sin calibración suficiente para valor real."
curva,punto,107,133.5,,,,,,,,"Punto de la curva en píxel (107, 133.5); sin calibración suficiente para valor real."
curva,punto,108,132.5,,,,,,,,"Punto de la curva en píxel (108, 132.5); sin calibración suficiente para valor real."
curva,punto,109,132.0,,,,,,,,"Punto de la curva en píxel (109, 132.0); sin calibración suficiente para valor real."
curva,punto,110,131.0,,,,,,,,"Punto de la curva en píxel (110, 131.0); sin calibración suficiente para valor real."
curva,punto,111,130.0,,,,,,,,"Punto de la curva en píxel (111, 130.0); sin calibración suficiente para valor real."
curva,punto,112,128.5,,,,,,,,"Punto de la curva en píxel (112, 128.5); sin calibración suficiente para valor real."
curva,punto,113,128.0,,,,,,,,"Punto de la curva en píxel (113, 128.0); sin calibración suficiente para valor real."
curva,punto,114,127.0,,,,,,,,"Punto de la curva en píxel (114, 127.0); sin calibración suficiente para valor real."
curva,punto,115,126.0,,,,,,,,"Punto de la curva en píxel (115, 126.0); sin calibración suficiente para valor real."
curva,punto,116,125.0,,,,,,,,"Punto de la curva en píxel (116, 125.0); sin calibración suficiente para valor real."
curva,punto,117,124.0,,,,,,,,"Punto de la curva en píxel (117, 124.0); sin calibración suficiente para valor real."
curva,punto,118,123.0,,,,,,,,"Punto de la curva en píxel (118, 123.0); sin calibración suficiente para valor real."
curva,punto,119,122.0,,,,,,,,"Punto de la curva en píxel (119, 122.0); sin calibración suficiente para valor real."
curva,punto,120,121.0,,,,,,,,"Punto de la curva en píxel (120, 121.0); sin calibración suficiente para valor real."
curva,punto,121,120.5,,,,,,,,"Punto de la curva en píxel (121, 120.5); sin calibración suficiente para valor real."
curva,punto,122,119.5,,,,,,,,"Punto de la curva en píxel (122, 119.5); sin calibración suficiente para valor real."
curva,punto,123,118.5,,,,,,,,"Punto de la curva en píxel (123, 118.5); sin calibración suficiente para valor real."
curva,punto,124,117.5,,,,,,,,"Punto de la curva en píxel (124, 117.5); sin calibración suficiente para valor real."
curva,punto,125,117.0,,,,,,,,"Punto de la curva en píxel (125, 117.0); sin calibración suficiente para valor real."
curva,punto,126,115.5,,,,,,,,"Punto de la curva en píxel (126, 115.5); sin calibración suficiente para valor real."
curva,punto,127,114.5,,,,,,,,"Punto de la curva en píxel (127, 114.5); sin calibración suficiente para valor real."
curva,punto,128,113.5,,,,,,,,"Punto de la curva en píxel (128, 113.5); sin calibración suficiente para valor real."
curva,punto,129,112.5,,,,,,,,"Punto de la curva en píxel (129, 112.5); sin calibración suficiente para valor real."
curva,punto,130,111.5,,,,,,,,"Punto de la curva en píxel (130, 111.5); sin calibración suficiente para valor real."
curva,punto,131,110.5,,,,,,,,"Punto de la curva en píxel (131, 110.5); sin calibración suficiente para valor real."
curva,punto,132,109.5,,,,,,,,"Punto de la curva en píxel (132, 109.5); sin calibración suficiente para valor real."
curva,punto,133,108.5,,,,,,,,"Punto de la curva en píxel (133, 108.5); sin calibración suficiente para valor real."
curva,punto,134,107.5,,,,,,,,"Punto de la curva en píxel (134, 107.5); sin calibración suficiente para valor real."
curva,punto,135,106.5,,,,,,,,"Punto de la curva en píxel (135, 106.5); sin calibración suficiente para valor real."
curva,punto,136,105.5,,,,,,,,"Punto de la curva en píxel (136, 105.5); sin calibración suficiente para valor real."
curva,punto,137,104.5,,,,,,,,"Punto de la curva en píxel (137, 104.5); sin calibración suficiente para valor real."
curva,punto,138,103.5,,,,,,,,"Punto de la curva en píxel (138, 103.5); sin calibración suficiente para valor real."
curva,punto,139,102.5,,,,,,,,"Punto de la curva en píxel (139, 102.5); sin calibración suficiente para valor real."
curva,punto,140,101.5,,,,,,,,"Punto de la curva en píxel (140, 101.5); sin calibración suficiente para valor real."
