tipo,elemento,x1,y1,x2,y2,ancho_px,alto_px,valor_x,valor_y,texto,descripcion
resumen,grafica,,,,,485,296,,,—n,"Gráfica de 485x296 px con título '—n', eje X detectado, eje Y detectado, curva detectada (276 puntos)."
eje,eje_x,2,290,480,290,,,,,,"Eje X (horizontal), de (2,290) a (480,290)."
eje,eje_y,2,287,2,3,,,,,,"Eje Y (vertical), de (2,287) a (2,3)."
texto,titulo,429,140,,,38,9,,,—n,"Título leído por OCR: '—n', recuadro 38x9 px."
texto,titulo_eje_y,,,,,,,,,,No se detectó título vertical del eje Y.
texto,titulo_eje_x,,,,,,,,,,No se detectó título del eje X.
curva,punto,90,41.5,,,,,,,,"Punto de la curva en píxel (90, 41.5); sin calibración suficiente para valor real."
curva,punto,91,41.0,,,,,,,,"Punto de la curva en píxel (91, 41.0); sin calibración suficiente para valor real."
curva,punto,92,41.5,,,,,,,,"Punto de la curva en píxel (92, 41.5); sin calibración suficiente para valor real."
curva,punto,93,42.0,,,,,,,,"Punto de la curva en píxel (93, 42.0); sin calibración suficiente para valor real."
curva,punto,94,42.0,,,,,,,,"Punto de la curva en píxel (94, 42.0); sin calibración suficiente para valor real."
curva,punto,95,42.0,,,,,,,,"Punto de la curva en píxel (95, 42.0); sin calibración suficiente para valor real."
curva,punto,96,42.5,,,,,,,,"Punto de la curva en píxel (96, 42.5); sin calibración suficiente para valor real."
curva,punto,97,43.0,,,,,,,,"Punto de la curva en píxel (97, 43.0); sin calibración suficiente para valor real."
curva,punto,98,43.0,,,,,,,,"Punto de la curva en píxel (98, 43.0); sin calibración suficiente para valor real."
curva,punto,99,43.5,,,,,,,,"Punto de la curva en píxel (99, 43.5); sin calibración suficiente para valor real."
curva,punto,100,43.5,,,,,,,,"Punto de la curva en píxel (100, 43.5); sin calibración suficiente para valor real."
curva,punto,101,44.0,,,,,,,,"Punto de la curva en píxel (101, 44.0); sin calibración suficiente para valor real."
curva,punto,102,44.0,,,,,,,,"Punto de la curva en píxel (102, 44.0); sin calibración suficiente para valor real."
curva,punto,103,44.0,,,,,,,,"Punto de la curva en píxel (103, 44.0); sin calibración suficiente para valor real."
curva,punto,104,44.5,,,,,,,,"Punto de la curva en píxel (104, 44.5); sin calibración suficiente para valor real."
curva,punto,105,45.0,,,,,,,,"Punto de la curva en píxel (105, 45.0); sin calibración suficiente para valor real."
curva,punto,106,45.0,,,,,,,,"Punto de la curva en píxel (106, 45.0); sin calibración suficiente para valor real."
curva,punto,107,45.5,,,,,,,,"Punto de la curva en píxel (107, 45.5); sin calibración suficiente para valor real."
curva,punto,108,45.5,,,,,,,,"Punto de la curva en píxel (108, 45.5); sin calibración suficiente para valor real."
curva,punto,109,46.0,,,,,,,,"Punto de la curva en píxel (109, 46.0); sin calibración suficiente para valor real."
curva,punto,110,46.0,,,,,,,,"Punto de la curva en píxel (110, 46.0); sin calibración suficiente para valor real."
curva,punto,111,46.0,,,,,,,,"Punto de la curva en píxel (111, 46.0); sin calibración suficiente para valor real."
curva,punto,112,47.0,,,,,,,,"Punto de la curva en píxel (112, 47.0); sin calibración suficiente para valor real."
curva,punto,113,47.0,,,,,,,,"Punto de la curva en píxel (113, 47.0); sin calibración suficiente para valor real."
curva,punto,114,47.0,,,,,,,,"Punto de la curva en píxel (114, 47.0); sin calibración suficiente para valor real."
curva,punto,115,47.5,,,,,,,,"Punto de la curva en píxel (115, 47.5); sin calibración suficiente para valor real."
curva,punto,116,47.5,,,,,,,,"Punto de la curva en píxel (116, 47.5); sin calibración suficiente para valor real."
curva,punto,117,48.0,,,,,,,,"Punto de la curva en píxel (117, 48.0); sin calibración suficiente para valor real."
curva,punto,118,48.0,,,,,,,,"Punto de la curva en píxel (118, 48.0); sin calibración suficiente para valor real."
curva,punto,119,49.0,,,,,,,,"Punto de la curva en píxel (119, 49.0); sin calibración suficiente para valor real."
curva,punto,120,49.0,,,,,,,,"Punto de la curva en píxel (120, 49.0); sin calibración suficiente para valor real."
curva,punto,121,49.0,,,,,,,,"Punto de la curva en píxel (121, 49.0); sin calibración suficiente para valor real."
curva,punto,122,49.0,,,,,,,,"Punto de la curva en píxel (122, 49.0); sin calibración suficiente para valor real."
curva,punto,123,49.5,,,,,,,,"Punto de la curva en píxel (123, 49.5); sin calibración suficiente para valor real."
curva,punto,124,50.0,,,,,,,,"Punto de la curva en píxel (124, 50.0); sin calibración suficiente para valor real."
curva,punto,125,50.0,,,,,,,,"Punto de la curva en píxel (125, 50.0); sin calibración suficiente para valor real."
curva,punto,126,50.0,,,,,,,,"Punto de la curva en píxel (126, 50.0); sin calibración suficiente para valor real."
curva,punto,127,50.5,,,,,,,,"Punto de la curva en píxel (127, 50.5); sin calibración suficiente para valor real."
curva,punto,128,51.0,,,,,,,,"Punto de la curva en píxel (128, 51.0); sin calibración suficiente para valor real."
curva,punto,129,51.0,,,,,,,,"Punto de la curva en píxel (129, 51.0); sin calibración suficiente para valor real."
curva,punto,130,51.5,,,,,,,,"Punto de la curva en píxel (130, 51.5); sin calibración suficiente para valor real."
curva,punto,131,52.0,,,,,,,,"Punto de la curva en píxel (131, 52.0); sin calibración suficiente para valor real."
curva,punto,132,52.0,,,,,,,,"Punto de la curva en píxel (132, 52.0); sin calibración suficiente para valor real."
curva,punto,133,52.0,,,,,,,,"Punto de la curva en píxel (133, 52.0); sin calibración suficiente para valor real."
curva,punto,134,52.5,,,,,,,,"Punto de la curva en píxel (134, 52.5); sin calibración suficiente para valor real."
curva,punto,135,53.0,,,,,,,,"Punto de la curva en píxel (135, 53.0); sin calibración suficiente para valor real."
curva,punto,136,53.0,,,,,,,,"Punto de la curva en píxel (136, 53.0); sin calibración suficiente para valor real."
curva,punto,137,53.0,,,,,,,,"Punto de la curva en píxel (137, 53.0); sin calibración suficiente para valor real."
curva,punto,138,53.5,,,,,,,,"Punto de la curva en píxel (138, 53.5); sin calibración suficiente para valor real."
curva,punto,139,54.0,,,,,,,,"Punto de la curva en píxel (139, 54.0); sin calibración suficiente para valor real."
curva,punto,140,54.0,,,,,,,,"Punto de la curva en píxel (140, 54.0); sin calibración suficiente para valor real."
