tipo,elemento,x1,y1,x2,y2,ancho_px,alto_px,valor_x,valor_y,texto,descripcion
resumen,grafica,,,,,485,296,,,,"Gráfica de 485x296 px con sin título detectado, eje X detectado, eje Y detectado, curva detectada (278 puntos)."
eje,eje_x,2,290,480,290,,,,,,"Eje X (horizontal), de (2,290) a (480,290)."
eje,eje_y,2,287,2,3,,,,,,"Eje Y (vertical), de (2,287) a (2,3)."
texto,titulo,,,,,,,,,,No se detectó título.
texto,titulo_eje_y,,,,,,,,,,No se detectó título vertical del eje Y.
texto,titulo_eje_x,,,,,,,,,,No se detectó título del eje X.
curva,punto,85,181.0,,,,,,,,"Punto de la curva en píxel (85, 181.0); sin calibración suficiente para valor real."
curva,punto,86,181.0,,,,,,,,"Punto de la curva en píxel (86, 181.0); sin calibración suficiente para valor real."
curva,punto,87,181.0,,,,,,,,"Punto de la curva en píxel (87, 181.0); sin calibración suficiente para valor real."
curva,punto,88,180.5,,,,,,,,"Punto de la curva en píxel (88, 180.5); sin calibración suficiente para valor real."
curva,punto,89,179.5,,,,,,,,"Punto de la curva en píxel (89, 179.5); sin calibración suficiente para valor real."
curva,punto,90,179.0,,,,,,,,"Punto de la curva en píxel (90, 179.0); sin calibración suficiente para valor real."
curva,punto,91,178.5,,,,,,,,"Punto de la curva en píxel (91, 178.5); sin calibración suficiente para valor real."
curva,punto,92,177.5,,,,,,,,"Punto de la curva en píxel (92, 177.5); sin calibración suficiente para valor real."
curva,punto,93,177.5,,,,,,,,"Punto de la curva en píxel (93, 177.5); sin calibración suficiente para valor real."
curva,punto,94,177.0,,,,,,,,"Punto de la curva en píxel (94, 177.0); sin calibración suficiente para valor real."
curva,punto,95,177.0,,,,,,,,"Punto de la curva en píxel (95, 177.0); sin calibración suficiente para valor real."
curva,punto,96,175.5,,,,,,,,"Punto de la curva en píxel (96, 175.5); sin calibración suficiente para valor real."
curva,punto,97,175.0,,,,,,,,"Punto de la curva en píxel (97, 175.0); sin calibración suficiente para valor real."
curva,punto,98,174.5,,,,,,,,"Punto de la curva en píxel (98, 174.5); sin calibración suficiente para valor real."
curva,punto,99,174.0,,,,,,,,"Punto de la curva en píxel (99, 174.0); sin calibración suficiente para valor real."
curva,punto,100,173.5,,,,,,,,"Punto de la curva en píxel (100, 173.5); sin calibración suficiente para valor real."
curva,punto,101,173.0,,,,,,,,"Punto de la curva en píxel (101, 173.0); sin calibración suficiente para valor real."
curva,punto,102,172.5,,,,,,,,"Punto de la curva en píxel (102, 172.5); sin calibración suficiente para valor real."
curva,punto,103,171.5,,,,,,,,"Punto de la curva en píxel (103, 171.5); sin calibración suficiente para valor real."
curva,punto,104,171.5,,,,,,,,"Punto de la curva en píxel (104, 171.5); sin calibración suficiente para valor real."
curva,punto,105,170.5,,,,,,,,"Punto de la curva en píxel (105, 170.5); sin calibración suficiente para valor real."
curva,punto,106,170.0,,,,,,,,"Punto de la curva en píxel (106, 170.0); sin calibración suficiente para valor real."
curva,punto,107,169.5,,,,,,,,"Punto de la curva en píxel (107, 169.5); sin calibración suficiente para valor real."
curva,punto,108,169.0,,,,,,,,"Punto de la curva en píxel (108, 169.0); sin calibración suficiente para valor real."
curva,punto,109,168.5,,,,,,,,"Punto de la curva en píxel (109, 168.5); sin calibración suficiente para valor real."
curva,punto,110,167.5,,,,,,,,"Punto de la curva en píxel (110, 167.5); sin calibración suficiente para valor real."
curva,punto,111,167.5,,,,,,,,"Punto de la curva en píxel (111, 167.5); sin calibración suficiente para valor real."
curva,punto,112,166.5,,,,,,,,"Punto de la curva en píxel (112, 166.5); sin calibración suficiente para valor real."
curva,punto,113,166.5,,,,,,,,"Punto de la curva en píxel (113, 166.5); sin calibración suficiente para valor real."
curva,punto,114,165.5,,,,,,,,"Punto de la curva en píxel (114, 165.5); sin calibración suficiente para valor real."
curva,punto,115,165.0,,,,,,,,"Punto de la curva en píxel (115, 165.0); sin calibración suficiente para valor real."
curva,punto,116,164.5,,,,,,,,"Punto de la curva en píxel (116, 164.5); sin calibración suficiente para valor real."
curva,punto,117,164.0,,,,,,,,"Punto de la curva en píxel (117, 164.0); sin calibración suficiente para valor real."
curva,punto,118,163.5,,,,,,,,"Punto de la curva en píxel (118, 163.5); sin calibración suficiente para valor real."
curva,punto,119,163.0,,,,,,,,"Punto de la curva en píxel (119, 163.0); sin calibración suficiente para valor real."
curva,punto,120,162.5,,,,,,,,"Punto de la curva en píxel (120, 162.5); sin calibración suficiente para valor real."
curva,punto,121,161.5,,,,,,,,"Punto de la curva en píxel (121, 161.5); sin calibración suficiente para valor real."
curva,punto,122,161.5,,,,,,,,"Punto de la curva en píxel (122, 161.5); sin calibración suficiente para valor real."
curva,punto,123,161.0,,,,,,,,"Punto de la curva en píxel (123, 161.0); sin calibración suficiente para valor real."
curva,punto,124,159.5,,,,,,,,"Punto de la curva en píxel (124, 159.5); sin calibración suficiente para valor real."
curva,punto,125,159.5,,,,,,,,"Punto de la curva en píxel (125, 159.5); sin calibración suficiente para valor real."
curva,punto,126,159.0,,,,,,,,"Punto de la curva en píxel (126, 159.0); sin calibración suficiente para valor real."
curva,punto,127,158.5,,,,,,,,"Punto de la curva en píxel (127, 158.5); sin calibración suficiente para valor real."
curva,punto,128,157.5,,,,,,,,"Punto de la curva en píxel (128, 157.5); sin calibración suficiente para valor real."
curva,punto,129,157.5,,,,,,,,"Punto de la curva en píxel (129, 157.5); sin calibración suficiente para valor real."
curva,punto,130,157.0,,,,,,,,"Punto de la curva en píxel (130, 157.0); sin calibración suficiente para valor real."
curva,punto,131,156.5,,,,,,,,"Punto de la curva en píxel (131, 156.5); sin calibración suficiente para valor real."
curva,punto,132,155.5,,,,,,,,"Punto de la curva en píxel (132, 155.5); sin calibración suficiente para valor real."
curva,punto,133,155.0,,,,,,,,"Punto de la curva en píxel (133, 155.0); sin calibración suficiente para valor real."
curva,punto,134,154.5,,,,,,,,"Punto de la curva en píxel (134, 154.5); sin calibración suficiente para valor real."
curva,punto,135,154.0,,,,,,,,"Punto de la curva en píxel (135, 154.0); sin calibración suficiente para valor real."
curva,punto,136,153.5,,,,,,,,"Punto de la curva en píxel (136, 153.5); sin calibración suficiente para valor real."
curva,punto,137,153.0,,,,,,,,"Punto de la curva en píxel (137, 153.0); sin calibración suficiente para valor real."
curva,punto,138,152.5,,,,,,,,"Punto de la curva en píxel (138, 152.5); sin calibración suficiente para valor real."
curva,punto,139,151.5,,,,,,,,"Punto de la curva en píxel (139, 151.5); sin calibración suficiente para valor real."
curva,punto,140,151.0,,,,,,,,"Punto de la curva en píxel (140, 151.0); sin calibración suficiente para valor real."
curva,punto,141,150.5,,,,,,,,"Punto de la curva en píxel (141, 150.5); sin calibración suficiente para valor real."
curva,punto,142,150.0,,,,,,,,"Punto de la curva en píxel (142, 150.0); sin calibración suficiente para valor real."
curva,punto,143,149.5,,,,,,,,"Punto de la curva en píxel (143, 149.5); sin calibración suficiente para valor real."
curva,punto,144,149.0,,,,,,,,"Punto de la curva en píxel (144, 149.0); sin calibración suficiente para valor real."
curva,punto,145,148.5,,,,,,,,"Punto de la curva en píxel (145, 148.5); sin calibración suficiente para valor real."
curva,punto,146,148.0,,,,,,,,"Punto de la curva en píxel (146, 148.0); sin calibración suficiente para valor real."
curva,punto,147,147.5,,,,,,,,"Punto de la curva en píxel (147, 147.5); sin calibración suficiente para valor real."
curva,punto,148,147.0,,,,,,,,"Punto de la curva en píxel (148, 147.0); sin calibración suficiente para valor real."
curva,punto,149,146.5,,,,,,,,"Punto de la curva en píxel (149, 146.5); sin calibración suficiente para valor real."
curva,punto,150,145.5,,,,,,,,"Punto de la curva en píxel (150, 145.5); sin calibración suficiente para valor real."
curva,punto,151,145.0,,,,,,,,"Punto de la curva en píxel (151, 145.0); sin calibración suficiente para valor real."
curva,punto,152,144.5,,,,,,,,"Punto de la curva en píxel (152, 144.5); sin calibración suficiente para valor real."
curva,punto,153,144.0,,,,,,,,"Punto de la curva en píxel (153, 144.0); sin calibración suficiente para valor real."
curva,punto,154,143.5,,,,,,,,"Punto de la curva en píxel (154, 143.5); sin calibración suficiente para valor real."
curva,punto,155,143.0,,,,,,,,"Punto de la curva en píxel (155, 143.0); sin calibración suficiente para valor real."
curva,punto,156,142.0,,,,,,,,"Punto de la curva en píxel (156, 142.0); sin calibración suficiente para valor real."
curva,punto,157,141.5,,,,,,,,"Punto de la curva en píxel (157, 141.5); sin calibración suficiente para valor real."
curva,punto,158,141.5,,,,,,,,"Punto de la curva en píxel (158, 141.5); sin calibración suficiente para valor real."
curva,punto,159,140.5,,,,,,,,"Punto de la curva en píxel (159, 140.5); sin calibración suficiente para valor real."
curva,punto,160,139.5,,,,,,,,"Punto de la curva en píxel (160, 139.5); sin calibración suficiente para valor real."
curva,punto,161,139.5,,,,,,,,"Punto de la curva en píxel (161, 139.5); sin calibración suficiente para valor real."
curva,punto,162,139.0,,,,,,,,"Punto de la curva en píxel (162, 139.0); sin calibración suficiente para valor real."
curva,punto,163,138.5,,,,,,,,"Punto de la curva en píxel (163, 138.5); sin calibración suficiente para valor real."
curva,punto,164,138.0,,,,,,,,"Punto de la curva en píxel (164, 138.0); sin calibración suficiente para valor real."
curva,punto,165,137.5,,,,,,,,"Punto de la curva en píxel (165, 137.5); sin calibración suficiente para valor real."
curva,punto,166,137.0,,,,,,,,"Punto de la curva en píxel (166, 137.0); sin calibración suficiente para valor real."
curva,punto,167,136.5,,,,,,,,"Punto de la curva en píxel (167, 136.5); sin calibración suficiente para valor real."
curva,punto,168,135.5,,,,,,,,"Punto de la curva en píxel (168, 135.5); sin calibración suficiente para valor real."
curva,punto,169,135.0,,,,,,,,"Punto de la curva en píxel (169, 135.0); sin calibración suficiente para valor real."
curva,punto,170,134.5,,,,,,,,"Punto de la curva en píxel (170, 134.5); sin calibración suficiente para valor real."
curva,punto,171,134.0,,,,,,,,"Punto de la curva en píxel (171, 134.0); sin calibración suficiente para valor real."
curva,punto,172,133.5,,,,,,,,"Punto de la curva en píxel (172, 133.5); sin calibración suficiente para valor real."
curva,punto,173,133.0,,,,,,,,"Punto de la curva en píxel (173, 133.0); sin calibración suficiente para valor real."
curva,punto,174,132.5,,,,,,,,"Punto de la curva en píxel (174, 132.5); sin calibración suficiente para valor real."
curva,punto,175,132.0,,,,,,,,"Punto de la curva en píxel (175, 132.0); sin calibración suficiente para valor real."
curva,punto,176,131.0,,,,,,,,"Punto de la curva en píxel (176, 131.0); sin calibración suficiente para valor real."
curva,punto,177,130.5,,,,,,,,"Punto de la curva en píxel (177, 130.5); sin calibración suficiente para valor real."
curva,punto,178,130.5,,,,,,,,"Punto de la curva en píxel (178, 130.5); sin calibración suficiente para valor real."
curva,punto,179,129.5,,,,,,,,"Punto de la curva en píxel (179, 129.5); sin calibración suficiente para valor real."
curva,punto,180,129.0,,,,,,,,"Punto de la curva en píxel (180, 129.0); sin calibración suficiente para valor real."
curva,punto,181,129.0,,,,,,,,"Punto de la curva en píxel (181, 129.0); sin calibración suficiente para valor real."
curva,punto,182,128.0,,,,,,,,"Punto de la curva en píxel (182, 128.0); sin calibración suficiente para valor real."
curva,punto,183,127.5,,,,,,,,"Punto de la curva en píxel (183, 127.5); sin calibración suficiente para valor real."
curva,punto,184,127.0,,,,,,,,"Punto de la curva en píxel (184, 127.0); sin calibración suficiente para valor real."
curva,punto,185,126.0,,,,,,,,"Punto de la curva en píxel (185, 126.0); sin calibración suficiente para valor real."
curva,punto,186,126.0,,,,,,,,"Punto de la curva en píxel (186, 126.0); sin calibración suficiente para valor real."
curva,punto,187,125.5,,,,,,,,"Punto de la curva en píxel (187, 125.5); sin calibración suficiente para valor real."
curva,punto,188,125.0,,,,,,,,"Punto de la curva en píxel (188, 125.0); sin calibración suficiente para valor real."
curva,punto,189,124.0,,,,,,,,"Punto de la curva en píxel (189, 124.0); sin calibración suficiente para valor real."
curva,punto,190,123.5,,,,,,,,"Punto de la curva en píxel (190, 123.5); sin calibración suficiente para valor real."
curva,punto,191,123.0,,,,,,,,"Punto de la curva en píxel (191, 123.0); sin calibración suficiente para valor real."
curva,punto,192,122.5,,,,,,,,"Punto de la curva en píxel (192, 122.5); sin calibración suficiente para valor real."
curva,punto,193,122.0,,,,,,,,"Punto de la curva en píxel (193, 122.0); sin calibración suficiente para valor real."
curva,punto,194,121.5,,,,,,,,"Punto de la curva en píxel (194, 121.5); sin calibración suficiente para valor real."
curva,punto,195,121.0,,,,,,,,"Punto de la curva en píxel (195, 121.0); sin calibración suficiente para valor real."
curva,punto,196,120.5,,,,,,,,"Punto de la curva en píxel (196, 120.5); sin calibración suficiente para valor real."
curva,punto,197,119.5,,,,,,,,"Punto de la curva en píxel (197, 119.5); sin calibración suficiente para valor real."
curva,punto,198,119.5,,,,,,,,"Punto de la curva en píxel (198, 119.5); sin calibración suficiente para valor real."
curva,punto,199,118.5,,,,,,,,"Punto de la curva en píxel (199, 118.5); sin calibración suficiente para valor real."
curva,punto,200,118.0,,,,,,,,"Punto de la curva en píxel (200, 118.0); sin calibración suficiente para valor real."
curva,punto,201,117.5,,,,,,,,"Punto de la curva en píxel (201, 117.5); sin calibración suficiente para valor real."
curva,punto,202,117.0,,,,,,,,"Punto de la curva en píxel (202, 117.0); sin calibración suficiente para valor real."
curva,punto,203,116.5,,,,,,,,"Punto de la curva en píxel (203, 116.5); sin calibración suficiente para valor real."
curva,punto,204,116.0,,,,,,,,"Punto de la curva en píxel (204, 116.0); sin calibración suficiente para valor real."
curva,punto,205,115.5,,,,,,,,"Punto de la curva en píxel (205, 115.5); sin calibración suficiente para valor real."
curva,punto,206,115.0,,,,,,,,"Punto de la curva en píxel (206, 115.0); sin calibración suficiente para valor real."
curva,punto,207,114.5,,,,,,,,"Punto de la curva en píxel (207, 114.5); sin calibración suficiente para valor real."
curva,punto,208,113.5,,,,,,,,"Punto de la curva en píxel (208, 113.5); sin calibración suficiente para valor real."
curva,punto,209,113.5,,,,,,,,"Punto de la curva en píxel (209, 113.5); sin calibración suficiente para valor real."
curva,punto,210,113.0,,,,,,,,"Punto de la curva en píxel (210, 113.0); sin calibración suficiente para valor real."
curva,punto,211,112.0,,,,,,,,"Punto de la curva en píxel (211, 112.0); sin calibración suficiente para valor real."
